instance,P1,P2,P3
la01,0.0191,0.0388,0.0598
la02,0.0465,0.1365,0.4768
la16,0.0404,0.1971,0.5111
la17,0.0791,0.1898,1.076
la31,0.6252,1.5484,2.4457
la32,0.5296,2.4558,4.8568
